epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,55.5113,1.27571,5.09159,1.25025,0.28619,1,0.995,0.8955,0.80203,3.70407,0.87866,0.00012294,0.00012294,0.00012294
95,56.0321,1.31161,4.46847,1.45135,0.28619,1,0.995,0.8955,0.80203,3.70407,0.87866,0.000108748,0.000108748,0.000108748
96,56.5744,1.48002,5.43372,1.33161,0.83616,1,0.995,0.8955,0.79561,2.87003,0.89815,9.42272e-05,9.42272e-05,9.42272e-05
97,57.0576,1.16111,4.34586,1.01551,0.83616,1,0.995,0.8955,0.79561,2.87003,0.89815,7.93759e-05,7.93759e-05,7.93759e-05
98,57.5638,1.63552,4.68476,1.33124,0.83616,1,0.995,0.8955,0.79561,2.87003,0.89815,6.41945e-05,6.41945e-05,6.41945e-05
99,58.1136,0.99936,4.17916,1.20941,0.83616,1,0.995,0.8955,0.79561,2.87003,0.89815,4.86831e-05,4.86831e-05,4.86831e-05
100,58.6001,1.07349,3.81798,1.2634,0.83616,1,0.995,0.8955,0.79561,2.87003,0.89815,3.28416e-05,3.28416e-05,3.28416e-05
1,5.17947,1.27592,3.07378,0.98355,0.02366,1,0.995,0.995,0.74845,3.76055,0.81253,0,0,0
2,5.61565,1.17221,4.19273,1.08862,0.24612,1,0.995,0.995,0.71091,3.5657,0.79799,1.6505e-05,1.6505e-05,1.6505e-05
3,6.13265,1.28898,6.30835,0.85996,0.59227,1,0.995,0.8955,0.69944,3.31052,0.79513,3.26799e-05,3.26799e-05,3.26799e-05
4,6.58527,1.1958,5.16092,0.96682,0.67724,1,0.995,0.8955,0.65324,3.13053,0.78995,4.85247e-05,4.85247e-05,4.85247e-05
5,7.03238,1.33737,5.57287,0.96749,0.73593,1,0.995,0.8955,0.61104,2.95126,0.7816,6.40395e-05,6.40395e-05,6.40395e-05
6,7.43096,1.05389,3.47484,0.98351,0.78551,1,0.995,0.8955,0.56957,2.89644,0.7728,7.92242e-05,7.92242e-05,7.92242e-05
7,7.81586,1.14813,3.74325,0.97811,0.81305,1,0.995,0.8955,0.57181,2.82222,0.76937,9.40788e-05,9.40788e-05,9.40788e-05
8,8.17126,1.14469,3.48506,0.9517,0.81305,1,0.995,0.8955,0.57181,2.82222,0.76937,0.000108603,0.000108603,0.000108603
9,8.57845,1.06778,3.04294,1.00846,0.00333,1,0.995,0.6965,1.32493,4.83656,1.07009,0.000122798,0.000122798,0.000122798
10,9.20708,0.94305,3.67341,1.0634,0.00333,1,0.995,0.6965,1.32493,4.83656,1.07009,0.000136662,0.000136662,0.000136662
11,9.73534,1.12025,2.11294,1.09374,0,0,0,0,1.45505,5.32928,1.02066,0.000150197,0.000150197,0.000150197
12,10.2807,1.02043,4.7681,1.01757,0,0,0,0,1.45505,5.32928,1.02066,0.000163401,0.000163401,0.000163401
13,10.8075,2.01773,8.15791,1.34463,0.00336,1,0.01401,0.00841,1.58977,3.84043,1.30831,0.000176275,0.000176275,0.000176275
14,11.3682,1.28801,5.84818,1.37871,0.00336,1,0.01401,0.00841,1.58977,3.84043,1.30831,0.000188819,0.000188819,0.000188819
15,11.9028,1.19454,3.9479,1.30709,0.80996,1,0.995,0.6965,1.63631,3.57588,1.31636,0.000201034,0.000201034,0.000201034
16,12.5507,1.49696,2.42257,1.21084,0.80996,1,0.995,0.6965,1.63631,3.57588,1.31636,0.000212918,0.000212918,0.000212918
17,13.1312,1.55176,4.6359,1.84612,0.41489,1,0.995,0.6965,1.50176,7.49398,1.21712,0.000224472,0.000224472,0.000224472
18,13.6397,1.39401,3.69531,1.40009,0.41489,1,0.995,0.6965,1.50176,7.49398,1.21712,0.000235695,0.000235695,0.000235695
19,14.2447,0.95538,2.20795,1.0526,0.85371,1,0.995,0.6965,1.63503,3.32421,1.24272,0.000246589,0.000246589,0.000246589
20,14.7564,1.29329,2.39638,1.07053,0.85371,1,0.995,0.6965,1.63503,3.32421,1.24272,0.000257153,0.000257153,0.000257153
21,15.3083,1.20527,2.36736,1.12056,0.85371,1,0.995,0.6965,1.63503,3.32421,1.24272,0.000267387,0.000267387,0.000267387
22,15.8459,1.26897,1.66901,1.04824,0.59418,1,0.995,0.597,1.77878,3.53937,1.28673,0.00027729,0.00027729,0.00027729
23,16.3946,1.17553,3.02998,1.49825,0.59418,1,0.995,0.597,1.77878,3.53937,1.28673,0.000286864,0.000286864,0.000286864
24,16.9051,1.29345,2.5663,1.31305,0.59418,1,0.995,0.597,1.77878,3.53937,1.28673,0.000296108,0.000296108,0.000296108
25,17.4386,1.21426,2.32007,1.08533,0.9281,1,0.995,0.597,1.70022,3.0493,1.17517,0.000305021,0.000305021,0.000305021
26,17.9797,1.22545,1.87484,1.02386,0.9281,1,0.995,0.597,1.70022,3.0493,1.17517,0.000313604,0.000313604,0.000313604
27,18.4967,1.18735,2.03827,1.2247,0.9281,1,0.995,0.597,1.70022,3.0493,1.17517,0.000321858,0.000321858,0.000321858
28,19.0842,1.18944,1.95317,1.20209,0.00333,1,0.03827,0.02296,1.73918,3.7938,1.33055,0.000329781,0.000329781,0.000329781
29,19.5975,1.24227,2.00779,1.13298,0.00333,1,0.03827,0.02296,1.73918,3.7938,1.33055,0.000337374,0.000337374,0.000337374
30,20.1757,1.33373,2.11455,1.01086,0.00333,1,0.03827,0.02296,1.73918,3.7938,1.33055,0.000344637,0.000344637,0.000344637
31,20.6893,1.28422,2.16367,1.09664,0.07345,1,0.995,0.4975,1.93315,3.05251,1.27269,0.00035157,0.00035157,0.00035157
32,21.2431,1.21818,1.94388,1.24414,0.07345,1,0.995,0.4975,1.93315,3.05251,1.27269,0.000358173,0.000358173,0.000358173
33,21.8501,1.09771,1.52792,1.15381,0.07345,1,0.995,0.4975,1.93315,3.05251,1.27269,0.000364446,0.000364446,0.000364446
34,22.3864,1.08396,1.56244,1.00078,0.07345,1,0.995,0.4975,1.93315,3.05251,1.27269,0.000370389,0.000370389,0.000370389
35,22.9147,1.15342,1.7934,1.03939,0.95529,1,0.995,0.597,1.67722,2.38355,1.08864,0.000376002,0.000376002,0.000376002
36,23.4343,1.27546,2.16268,1.05769,0.95529,1,0.995,0.597,1.67722,2.38355,1.08864,0.000381285,0.000381285,0.000381285
37,23.9625,1.15789,1.8085,1.04636,0.95529,1,0.995,0.597,1.67722,2.38355,1.08864,0.000386237,0.000386237,0.000386237
38,24.4858,1.13296,2.3304,1.25609,0.95529,1,0.995,0.597,1.67722,2.38355,1.08864,0.00039086,0.00039086,0.00039086
39,25.0352,1.20414,2.02808,1.29625,0.96659,1,0.995,0.6965,1.56288,1.83555,1.12743,0.000395152,0.000395152,0.000395152
40,25.5546,1.07992,1.50997,1.12349,0.96659,1,0.995,0.6965,1.56288,1.83555,1.12743,0.000399115,0.000399115,0.000399115
41,26.1237,1.2038,1.69532,1.22819,0.96659,1,0.995,0.6965,1.56288,1.83555,1.12743,0.000402747,0.000402747,0.000402747
42,26.6394,1.34013,2.18417,1.34749,0.96659,1,0.995,0.6965,1.56288,1.83555,1.12743,0.00040605,0.00040605,0.00040605
43,27.2106,0.97899,1.5588,1.21341,0.96799,1,0.995,0.6965,1.6206,1.13803,1.0588,0.000409022,0.000409022,0.000409022
44,27.7317,1.22736,1.73615,1.11835,0.96799,1,0.995,0.6965,1.6206,1.13803,1.0588,0.000411664,0.000411664,0.000411664
45,28.3006,1.40361,1.94705,1.14354,0.96799,1,0.995,0.6965,1.6206,1.13803,1.0588,0.000413976,0.000413976,0.000413976
46,28.8266,1.36348,1.85675,1.01542,0.96799,1,0.995,0.6965,1.6206,1.13803,1.0588,0.000415958,0.000415958,0.000415958
47,29.3961,1.14884,2.03273,1.40147,0.96799,1,0.995,0.6965,1.6206,1.13803,1.0588,0.00041761,0.00041761,0.00041761
48,29.9256,0.95201,1.36364,0.98861,0.97181,1,0.995,0.597,1.4584,0.87514,1.0444,0.000418932,0.000418932,0.000418932
49,30.4668,1.08476,1.232,1.02356,0.97181,1,0.995,0.597,1.4584,0.87514,1.0444,0.000419924,0.000419924,0.000419924
50,31.0091,1.02155,1.3679,1.10497,0.97181,1,0.995,0.597,1.4584,0.87514,1.0444,0.000420586,0.000420586,0.000420586
51,31.5555,1.23274,1.26923,1.043,0.97181,1,0.995,0.597,1.4584,0.87514,1.0444,0.000420918,0.000420918,0.000420918
52,32.1397,1.05795,1.18892,1.05042,0.97181,1,0.995,0.597,1.4584,0.87514,1.0444,0.000420919,0.000420919,0.000420919
53,32.7976,0.99861,1.25477,1.15508,0.96713,1,0.995,0.796,1.1227,0.86376,0.98278,0.000420591,0.000420591,0.000420591
54,33.3123,1.07322,1.79749,1.21328,0.96713,1,0.995,0.796,1.1227,0.86376,0.98278,0.000419932,0.000419932,0.000419932
55,33.816,1.12807,1.0919,1.10911,0.96713,1,0.995,0.796,1.1227,0.86376,0.98278,0.000418944,0.000418944,0.000418944
56,34.3626,1.28797,1.55714,0.95932,0.96713,1,0.995,0.796,1.1227,0.86376,0.98278,0.000417625,0.000417625,0.000417625
57,34.9093,1.08096,1.43788,1.19069,0.96713,1,0.995,0.796,1.1227,0.86376,0.98278,0.000415977,0.000415977,0.000415977
58,35.443,1.64662,2.10511,1.63218,0.96713,1,0.995,0.796,1.1227,0.86376,0.98278,0.000413998,0.000413998,0.000413998
59,35.9963,1.24676,1.07913,0.92624,0.96478,1,0.995,0.796,0.98234,0.72045,0.96205,0.000411689,0.000411689,0.000411689
